Class,Category,Time,WeeklyIncome,GrossIncome,SecondViews,FirstViews
comedy,4,153,5.8,26.3,1238,1604
drama,6,112,13.3,38,1409,1450
thriller,4,69,10,21,1729,1732
comedy,4,82,6.6,25.5,1834,1887
family,4,146,14.8,46.5,1822,1941
thriller,4,90,10.6,36.8,2052,2059
comedy,4,153,9.5,40,2013,2059
thriller,7,132,13.4,67.8,2215,2230
comedy,2,146,8,32.6,2165,2186
action,4,160,15.5,65.6,2132,2132
animated,6,139,6.1,35.3,2159,2176
drama,6,174,9.3,81,1421,2086
action,6,146,22.2,100,2525,2579
action,7,104,12.9,75.6,2035,2037
family,6,125,22.1,100.3,2714,2757
action,4,87,52.8,184,2842,2893
animated,6,209,29.5,141.6,2757,2757
scifi,8,153,25.3,172.1,2197,2347
scifi,4,118,17.2,60.1,2310,2310
comedy,4,127,12.5,69.7,1458,1795
action,5,125,21.2,88.2,2268,2420
family,6,258,8.7,63.7,1591,1790
drama,3,174,14.9,84.8,1348,1783
action,4,146,23.3,70.4,2421,2630
comedy,3,90,9,36.5,1294,1489
drama,7,132,6.2,21.1,10,954
thriller,7,230,13.9,100.1,2441,2528
comedy,7,146,12.7,72,1612,2103
thriller,7,90,5.2,32,1390,1661
drama,8,230,3.2,32,7,1310
comedy,3,139,37.8,108.4,2652,2705
action,6,195,26.2,106.4,2667,2667
animated,7,281,29.1,191.8,2457,2574
comedy,5,132,11.1,76.6,1949,2061
action,3,153,11.1,100.5,2487,2530
action,7,118,8.4,67.4,1325,1704
drama,2,104,7.9,53.1,1528,1680
drama,4,195,9.3,82.6,1409,1659
thriller,4,33,10.2,25.7,2004,2007
action,4,125,15.6,70.6,2388,2392
comedy,3,104,8.5,38.6,2022,2069
family,5,153,7.9,34.3,2070,2070
drama,6,160,11.1,51.1,1506,1639
comedy,6,167,18.3,124.1,1950,2285
action,6,111,12.1,68.8,2232,2289
comedy,4,141,9.3,34.7,1131,1131
drama,7,139,9.9,56.1,1983,1983
comedy,7,111,6.8,34.1,1413,1654
action,5,167,41,241.9,2414,2808
action,6,155,56.8,181,3012,3012
action,6,90,15,51.4,2130,2193
action,7,160,25.1,134.1,2392,2426
action,6,111,24.6,101.3,2410,2556
comedy,6,153,25.4,128.8,2115,2239
action,5,169,50.2,306.2,2882,2977
drama,6,202,16.2,104.6,1637,2139
drama,6,127,14.8,108.8,2123,2313
family,6,125,8.2,33.1,1975,2006
comedy,3,167,11.2,58.6,1710,2232
drama,6,104,10.1,53.8,2012,2102
comedy,4,55,6,21.2,2240,2242
drama,7,132,4.7,24.5,1320,1401
comedy,4,139,18.9,105.5,1922,2406
thriller,3,125,9.2,38.6,2142,2202
action,5,104,9.1,33.4,2245,2404
drama,6,94,12.3,53.3,1915,2080
thriller,6,160,34.2,136.5,2676,2768
scifi,7,118,30.7,92,2812,2812
family,5,160,33.5,136.2,2794,2901
drama,6,209,17.1,153.9,2531,2531
thriller,6,223,6.3,103,1413,1994
drama,6,141,17.4,95.3,2141,2325
scifi,8,97,35.9,138.2,2104,2375
thriller,6,125,9.1,33.9,2095,2128
action,6,104,11.4,32,2001,2005
scifi,8,83,22,67.5,2111,2322
action,5,125,18.5,67.2,2657,2761
thriller,7,132,16.8,50.1,2568,2568
comedy,6,209,31.4,181.4,2845,2909
comedy,2,181,12.8,59.9,2316,2340
